1000 275175
0 1 3647
1 2 9427
1 3 7351
2 4 7163
2 5 5163
1 6 1851
6 7 9612
1 8 3824
3 9 4632
0 10 3953
5 11 8428
7 12 8200
3 13 6270
11 14 6612
13 15 9243
3 16 2020
10 17 7049
2 18 9789
0 19 3859
18 20 4430
11 21 3659
21 22 8203
3 23 6123
17 24 6109
19 25 1265
21 26 7743
14 27 4470
16 28 9652
22 29 6157
5 30 9359
1 31 8678
2 32 9695
0 33 8137
33 34 6970
14 35 9625
0 36 9937
4 37 81
35 38 5992
4 39 5071
19 40 3219
29 41 1471
38 42 9528
29 43 1511
35 44 5108
14 45 9913
0 46 9915
45 47 2025
44 48 1075
28 49 9654
40 50 4414
42 51 2672
35 52 2270
36 53 8941
39 54 5120
0 55 5523
48 56 5157
10 57 8682
40 58 4842
30 59 4636
2 60 5809
31 61 3354
19 62 2650
0 63 2457
15 64 545
28 65 1307
52 66 5085
1 67 7987
16 68 782
36 69 5753
2 70 1590
26 71 4831
58 72 1445
53 73 9540
23 74 5637
61 75 6736
45 76 9100
16 77 6576
32 78 6232
61 79 636
15 80 8094
44 81 230
74 82 8007
22 83 2337
35 84 421
57 85 4385
75 86 1946
30 87 7980
82 88 7756
53 89 5942
34 90 2932
72 91 5211
55 92 2181
67 93 8521
42 94 4795
56 95 1582
34 96 5496
3 97 5873
41 98 8277
77 99 4117
91 100 5651
34 101 80
47 102 2439
72 103 3236
27 104 2893
24 105 4012
36 106 5445
105 107 6224
71 108 7461
50 109 9701
54 110 6352
8 111 336
48 112 5342
2 113 4300
21 114 5556
47 115 3246
61 116 8483
4 117 3139
89 118 7918
6 119 9074
104 120 1129
77 121 4982
88 122 9198
92 123 1477
88 124 4506
74 125 8092
108 126 3417
32 127 1410
118 128 7928
75 129 6908
9 130 6041
128 131 6090
96 132 5601
116 133 8273
74 134 5452
1 135 7403
121 136 4890
18 137 2988
0 138 3094
87 139 2541
57 140 3601
24 141 3189
136 142 866
108 143 7030
98 144 990
52 145 8546
39 146 2904
116 147 437
2 148 9599
88 149 4613
50 150 7668
73 151 8068
92 152 2791
126 153 4778
60 154 5478
8 155 7717
86 156 5900
33 157 3224
55 158 6022
73 159 9161
86 160 7293
30 161 63
126 162 219
116 163 5498
92 164 9307
144 165 1386
92 166 830
145 167 9656
136 168 8028
96 169 6338
28 170 6671
10 171 6438
19 172 5189
45 173 552
62 174 5958
37 175 329
120 176 5069
64 177 265
119 178 5355
101 179 1960
127 180 4225
49 181 4259
144 182 2631
77 183 1581
48 184 2115
129 185 1429
185 186 2484
62 187 6209
58 188 6243
179 189 198
166 190 7043
23 191 8225
37 192 6312
0 193 2278
115 194 4854
5 195 7067
149 196 8066
93 197 7338
57 198 4723
103 199 2457
97 200 8981
22 201 7039
155 202 3698
42 203 7093
51 204 4788
201 205 6567
157 206 1695
167 207 9104
60 208 7915
3 209 9338
12 210 8779
168 211 9746
131 212 6382
41 213 5843
74 214 4964
24 215 9771
120 216 4408
46 217 749
90 218 6536
13 219 8722
143 220 4064
28 221 3321
87 222 7379
58 223 4969
172 224 672
31 225 4990
213 226 8543
85 227 773
155 228 3313
84 229 4437
25 230 4399
11 231 5834
74 232 5829
53 233 5013
62 234 9100
144 235 4861
23 236 2988
163 237 1421
191 238 2817
164 239 9544
27 240 1116
143 241 2692
189 242 3213
1 243 2975
153 244 2420
1 245 6224
66 246 3962
152 247 5023
131 248 7478
78 249 3352
91 250 8788
167 251 504
108 252 923
228 253 326
0 254 6436
231 255 8042
208 256 1223
216 257 9852
73 258 9290
77 259 6470
120 260 6628
76 261 7409
17 262 5909
236 263 7319
125 264 5882
16 265 3464
93 266 5689
