1000 250250
0 1 7122
1 2 1193
0 3 9133
0 4 2344
4 5 7512
2 6 7099
3 7 1396
2 8 5970
1 9 1083
2 10 7987
6 11 8787
1 12 9388
11 13 4436
7 14 4377
9 15 9895
10 16 3522
1 17 8730
1 18 4056
6 19 9865
19 20 4433
5 21 440
19 22 2820
13 23 5048
16 24 7267
15 25 7683
17 26 479
21 27 7296
25 28 7555
10 29 4406
8 30 3602
7 31 1801
10 32 4571
7 33 7724
21 34 8331
0 35 1174
2 36 328
33 37 770
2 38 4973
9 39 6332
28 40 8230
25 41 4591
8 42 1103
42 43 1663
33 44 7409
23 45 7792
15 46 1379
2 47 7962
29 48 2321
25 49 1921
22 50 422
5 51 1631
46 52 2334
27 53 3922
40 54 9741
7 55 2798
37 56 2685
4 57 4346
55 58 905
4 59 8143
21 60 6484
5 61 1508
57 62 4966
10 63 6482
42 64 7227
27 65 7253
30 66 2461
42 67 6445
45 68 2652
50 69 9609
55 70 9243
11 71 5947
27 72 3745
39 73 1219
24 74 859
67 75 2580
39 76 7165
21 77 174
57 78 2216
24 79 2543
8 80 5456
27 81 1618
64 82 9894
28 83 3255
64 84 7006
27 85 4336
59 86 1593
57 87 1439
41 88 6945
62 89 6422
75 90 955
55 91 4109
15 92 879
9 93 8088
47 94 6258
84 95 4656
4 96 5711
83 97 7688
92 98 8331
56 99 9996
87 100 5658
18 101 9095
101 102 6469
99 103 7640
74 104 7008
25 105 4756
34 106 1059
66 107 3434
39 108 2178
53 109 8894
87 110 8198
40 111 1739
90 112 2189
93 113 9651
79 114 4653
95 115 9836
61 116 6799
42 117 7254
102 118 1191
24 119 7478
77 120 3234
61 121 7706
116 122 8515
71 123 672
115 124 7699
116 125 7940
7 126 2822
35 127 6010
108 128 8666
22 129 8908
105 130 7368
106 131 8180
65 132 7332
108 133 7643
47 134 2299
19 135 8625
72 136 8540
46 137 7981
75 138 7512
131 139 7770
31 140 5008
136 141 2340
85 142 2308
67 143 6702
62 144 8721
72 145 3707
70 146 1238
28 147 6747
80 148 6028
39 149 7832
112 150 7650
69 151 6992
52 152 7115
123 153 499
97 154 5213
103 155 490
80 156 6327
4 157 3725
9 158 2950
6 159 9598
91 160 7087
77 161 7728
123 162 1157
122 163 9716
3 164 4072
114 165 2609
117 166 4012
1 167 8556
40 168 5720
20 169 4818
145 170 9634
67 171 4968
81 172 2147
39 173 8692
133 174 9879
91 175 7385
115 176 7143
163 177 2610
97 178 282
68 179 6946
160 180 7991
8 181 2650
93 182 5177
86 183 4496
6 184 3611
63 185 4012
37 186 4285
155 187 3839
48 188 9715
103 189 1948
99 190 4807
133 191 5835
69 192 9527
152 193 9429
117 194 7433
67 195 9258
103 196 9958
97 197 8387
2 198 5569
7 199 4657
28 200 6108
73 201 4994
93 202 4568
127 203 6935
149 204 1415
176 205 7147
70 206 1765
146 207 795
61 208 6894
154 209 4109
36 210 8744
96 211 795
203 212 490
188 213 4066
157 214 4374
110 215 4328
112 216 6782
142 217 5280
123 218 932
83 219 1552
66 220 8021
92 221 428
123 222 5857
181 223 1007
186 224 9798
158 225 1793
135 226 8568
115 227 3451
209 228 8516
194 229 7007
156 230 5164
84 231 9346
22 232 3285
67 233 1201
38 234 3789
44 235 7292
201 236 1845
42 237 1638
214 238 17
85 239 1743
182 240 8713
238 241 5153
126 242 4651
143 243 8369
68 244 3842
4 245 7055
71 246 6037
69 247 4520
42 248 1808
178 249 2563
6 250 5182
80 251 463
72 252 4755
145 253 8266
4 254 4780
125 255 4265
24 256 7181
91 257 1638
30 258 2553
187 259 9506
95 260 6987
241 261 1226
22 262 5267
159 263 366
91 264 5175
218 265 8748
204 266 2219
115 267 3066
58 268 6084
35 269 7054
233 270 6055
8 271 6099
189 272 1098
186 273 4682
244 274 4332
86 275 4275
164 276 1405
1 277 8555
139 278 7451
86 279 3178
112 280 9567
218 281 1261
94 282 7255
256 283 1339
62 284 5421
148 285 8319
157 286 5906
27 287 7134
19 288 9129
168 289 3846
149 290 6487
278 291 6254
6 292 3095
82 293 128
106 294 5179
259 295 3407
198 296 4880
29 297 7725
240 298 9839
217 299 8877
74 300 5280
140 301 7960
37 302 1344
268 303 6541
284 304 9258
181 305 8908
68 306 2154
18 307 4964
62 308 2586
52 309 9319
176 310 1195
202 311 7361
132 312 3716
165 313 2318
5 314 5417
151 315 9325
197 316 8659
27 317 2168
241 318 6128
73 319 5510
11 320 6470
115 321 2902
