1000 200400
0 1 532
1 2 1467
2 3 3525
1 4 9222
0 5 6730
3 6 5007
4 7 7543
5 8 6048
6 9 4783
1 10 8316
4 11 4769
11 12 1934
11 13 916
10 14 7990
3 15 599
9 16 7375
16 17 2146
13 18 3510
5 19 1585
16 20 578
20 21 9386
11 22 1267
5 23 4482
18 24 9741
12 25 7822
11 26 8544
12 27 3499
27 28 1840
13 29 8937
9 30 1618
9 31 9878
12 32 501
28 33 3156
25 34 2157
15 35 3973
21 36 3172
2 37 2037
0 38 3901
15 39 6324
19 40 8321
5 41 4162
34 42 7270
37 43 865
31 44 6656
33 45 9449
6 46 2956
11 47 403
9 48 6468
26 49 2472
30 50 6858
12 51 1735
11 52 2130
19 53 6552
21 54 7751
30 55 5379
6 56 6484
38 57 6884
43 58 5991
48 59 2815
2 60 2424
16 61 2772
15 62 6246
13 63 2305
29 64 6316
22 65 6153
27 66 9756
13 67 2909
2 68 6051
65 69 6037
45 70 1939
42 71 5163
41 72 9540
61 73 6217
62 74 9305
68 75 6011
69 76 5220
15 77 6677
56 78 5584
45 79 5051
27 80 4749
71 81 7491
69 82 732
65 83 8955
73 84 9508
31 85 7668
73 86 8050
78 87 972
23 88 6717
27 89 425
47 90 4035
88 91 2857
28 92 8050
76 93 651
63 94 2799
76 95 7259
75 96 3457
11 97 9956
29 98 1859
38 99 9650
26 100 5598
47 101 9626
85 102 8967
34 103 176
45 104 5742
80 105 2051
69 106 269
56 107 7514
89 108 297
0 109 6749
60 110 8505
51 111 8732
48 112 8224
53 113 7982
36 114 6271
52 115 1460
68 116 3530
55 117 7130
35 118 3383
30 119 7248
77 120 3724
23 121 4505
110 122 9308
81 123 7890
72 124 4696
119 125 2061
28 126 1309
60 127 9721
108 128 4820
53 129 613
126 130 6452
17 131 4395
103 132 6246
90 133 2578
3 134 961
43 135 8512
130 136 9315
121 137 4012
41 138 3535
82 139 8599
101 140 6858
127 141 7774
62 142 188
68 143 2414
84 144 8692
7 145 3000
93 146 6927
0 147 2330
137 148 3084
32 149 4781
89 150 3174
58 151 1622
6 152 1168
111 153 1904
56 154 3196
100 155 9904
42 156 2326
30 157 9832
143 158 5030
83 159 9656
101 160 3432
40 161 740
115 162 6380
63 163 1818
57 164 2488
87 165 2308
20 166 4798
26 167 4769
2 168 7680
43 169 2266
86 170 5090
4 171 7637
105 172 6171
27 173 6207
143 174 337
131 175 5886
125 176 3046
128 177 2080
124 178 4177
124 179 4364
124 180 9741
158 181 5923
99 182 1075
8 183 606
58 184 3026
176 185 9939
180 186 8183
163 187 9086
52 188 134
91 189 5766
18 190 7094
97 191 5310
163 192 3004
126 193 2962
49 194 6308
67 195 7182
89 196 4752
112 197 5132
192 198 5536
130 199 9912
43 200 4478
57 201 3867
4 202 1123
39 203 9875
75 204 2294
74 205 3736
174 206 7798
83 207 2297
190 208 5082
63 209 9927
122 210 5740
163 211 7434
110 212 4875
59 213 3824
109 214 3493
112 215 9973
77 216 6019
2 217 795
168 218 6684
12 219 6800
58 220 4290
21 221 8778
170 222 9658
178 223 8997
88 224 993
27 225 5864
181 226 2184
223 227 4934
27 228 7767
220 229 23
42 230 6187
116 231 2691
227 232 3245
56 233 4330
33 234 8111
143 235 1664
9 236 1068
123 237 6659
162 238 953
60 239 5197
19 240 9806
214 241 3618
163 242 6283
43 243 8340
196 244 9285
236 245 4729
84 246 612
95 247 7424
46 248 4548
188 249 4339
129 250 2386
114 251 1066
20 252 8181
210 253 5527
242 254 5556
101 255 5391
25 256 4154
82 257 2439
70 258 3202
245 259 9813
229 260 1429
185 261 4875
37 262 9991
39 263 3549
217 264 3599
13 265 1707
145 266 5408
213 267 7187
121 268 1613
84 269 7780
38 270 624
206 271 8083
203 272 237
195 273 2297
12 274 642
147 275 3160
223 276 5312
148 277 5371
147 278 9924
135 279 7753
124 280 8116
190 281 3446
166 282 4084
263 283 4537
133 284 5157
117 285 3552
133 286 2448
6 287 2316
210 288 6601
21 289 1032
232 290 6264
191 291 451
24 292 4179
47 293 5262
86 294 5195
274 295 1049
267 296 9918
89 297 3153
107 298 335
154 299 7688
3 300 321
209 301 783
161 302 5472
66 303 6430
64 304 6720
72 305 9373
25 306 9528
119 307 2109
24 308 1459
84 309 2979
189 310 2248
74 311 517
4 312 1272
12 313 1821
58 314 2020
