Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel
5, 123.5, 56.2, 725.1, 568.9
10, 210.9, 51.6, 1068.8, 864.6
15, 298.4, 97.0, 1375.4, 1214.9
20, 432.8, 117.3, 1672.2, 1529.7
25, 528.2, 159.4, 1967.3, 1859.6
30, 712.5, 157.8, 2236.2, 1993.9
35, 867.3, 187.5, 2512.6, 2306.3
40, 1156.1, 203.1, 2726.6, 2620.6
45, 1367.3, 203.1, 3043.9, 3064.4
50, 1129.9, 278.1, 3364.3, 3584.8
55, 1546.9, 303.6, 3780.2, 4111.2
60, 1546.1, 332.9, 4002.4, 4434.7
65, 1954.5, 382.1, 4250.3, 4717.8
70, 1808.7, 426.6, 4323.8, 4777.3
75, 2161.1, 498.6, 4695.4, 5281.4
80, 2167.7, 606.6, 4857.0, 5634.7
85, 1639.3, 687.3, 4964.2, 5581.3
90, 2197.0, 733.3, 5093.0, 5658.5
95, 2047.7, 871.8, 5402.1, 6064.9
100, 2410.8, 939.2, 5657.0, 6431.8
