Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel
5, 126.6, 51.6, 825.3, 573.5
10, 254.7, 58.0, 1038.3, 844.1
15, 328.3, 100.1, 1302.5, 1107.9
20, 389.0, 125.0, 1628.2, 1510.0
25, 628.2, 171.8, 1778.9, 1673.4
30, 229.8, 147.0, 48.4, 34.4
35, 895.3, 186.0, 2405.1, 2150.1
40, 870.5, 203.2, 2591.4, 2389.3
45, 1412.5, 200.1, 2967.3, 2962.8
50, 990.6, 254.7, 3256.4, 3345.4
55, 1545.3, 285.3, 3585.1, 3825.3
60, 1671.8, 335.9, 3806.5, 4140.9
65, 1814.0, 386.0, 4058.7, 4509.7
70, 1853.0, 468.6, 4300.3, 4763.5
75, 1879.8, 517.8, 4563.0, 5025.4
80, 2012.7, 611.1, 4799.5, 5337.6
85, 1657.8, 692.1, 4891.2, 5311.2
90, 1778.2, 740.6, 5046.1, 5103.4
95, 1733.1, 819.0, 4981.4, 4404.7
100, 2048.6, 884.3, 5242.9, 5250.9
