Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 129.7, 46.9, 706.2, 553.0, 604.6
10, 203.1, 51.8, 1020.4, 837.5, 1020.2
15, 314.0, 97.1, 1262.7, 1103.2, 1287.7
20, 401.3, 115.5, 1531.4, 1395.3, 1622.0
25, 462.4, 158.0, 1884.7, 1782.9, 2149.6
30, 593.7, 164.0, 2375.9, 2226.7, 2885.1
35, 628.2, 157.8, 2639.9, 2545.4, 3352.1
40, 1037.5, 170.2, 2814.9, 2825.3, 3644.1
45, 1239.1, 193.9, 2955.0, 2929.0, 3619.0
50, 1021.2, 237.8, 3217.3, 3237.5, 3912.4
55, 1576.5, 285.9, 3362.7, 3503.7, 4151.9
60, 740.7, 282.8, 71.7, 53.1, 59.4
65, 829.6, 325.0, 84.6, 65.3, 75.0
70, 1717.3, 393.7, 3718.9, 3619.1, 3968.9
75, 1944.7, 481.4, 4437.1, 4468.6, 5009.6
80, 2128.2, 573.5, 4667.4, 5029.7, 5968.9
85, 1695.6, 676.6, 4792.4, 5101.8, 5874.1
90, 1759.5, 765.6, 4899.7, 4795.4, 5287.5
95, 726.6, 806.2, 134.4, 89.2, 107.7
100, 2407.3, 936.0, 5404.9, 5964.4, 6744.1
