Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 122.0, 37.4, 831.7, 582.9, 1173.5
10, 196.9, 60.7, 1043.9, 873.7, 3214.2
15, 276.6, 98.5, 1353.9, 1188.7, 4841.0
20, 423.2, 115.8, 1575.3, 1433.5, 4298.7
25, 445.5, 145.3, 1903.5, 1817.3, 5722.5
30, 668.7, 168.8, 2261.1, 1980.6, 5651.6
35, 918.8, 181.1, 2470.3, 2249.0, 6571.1
40, 1128.1, 195.3, 2751.6, 2641.3, 8896.7
45, 1334.5, 243.7, 2987.7, 2940.0, 8701.9
50, 1137.6, 285.8, 3267.5, 3334.6, 10028.9
55, 1543.8, 315.4, 3552.0, 3801.7, 12443.2
60, 1567.1, 383.0, 3828.2, 4098.6, 13074.2
65, 1728.4, 425.1, 4122.0, 4481.4, 14723.9
70, 1972.2, 459.4, 4528.5, 5148.9, 19098.3
75, 1851.6, 579.8, 4659.6, 5441.1, 18070.5
80, 1969.1, 678.2, 4826.7, 5412.7, 15815.9
85, 1745.5, 762.6, 5089.3, 6047.4, 19459.3
90, 2108.2, 869.2, 5351.8, 6415.4, 20648.3
95, 1961.5, 893.7, 5459.4, 6464.3, 18157.1
100, 2084.6, 1003.5, 5595.8, 6139.8, 14136.2
