Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 148.4, 51.8, 639.0, 526.8, 558.2
10, 84.2, 48.4, 17.3, 16.0, 17.3
15, 179.9, 98.4, 31.2, 20.3, 26.5
20, 370.3, 118.8, 1506.3, 1331.2, 1585.9
25, 510.9, 159.4, 1814.2, 1676.6, 2000.2
30, 287.6, 167.1, 46.6, 32.8, 36.0
35, 248.3, 187.7, 54.6, 40.4, 45.3
40, 822.0, 229.8, 2545.4, 2343.7, 2648.6
45, 1283.1, 187.4, 2762.7, 2617.5, 2998.8
50, 493.9, 227.7, 59.6, 42.0, 48.5
55, 775.0, 256.4, 64.1, 43.9, 53.2
60, 670.5, 274.8, 68.4, 48.4, 57.8
65, 681.3, 293.7, 84.2, 64.0, 74.9
70, 720.4, 343.6, 67.2, 50.1, 65.7
75, 804.7, 412.4, 73.6, 54.6, 65.5
80, 974.7, 507.9, 118.8, 86.1, 134.5
85, 481.4, 626.7, 134.4, 92.4, 104.7
90, 446.8, 686.0, 142.2, 114.2, 186.1
95, 437.5, 779.8, 159.5, 133.0, 232.8
100, 531.3, 850.0, 163.9, 170.4, 193.6
