Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 106.5, 132.9, 24.9, 14.0, 15.6
10, 70.3, 133.0, 20.3, 15.6, 17.2
15, 78.2, 123.4, 23.4, 15.4, 17.2
20, 77.8, 147.0, 20.4, 12.4, 10.6
25, 90.7, 164.0, 26.6, 15.8, 17.2
30, 96.8, 179.7, 18.9, 17.1, 15.7
35, 76.5, 195.3, 20.3, 15.6, 18.6
40, 95.3, 221.9, 29.8, 20.6, 15.7
45, 104.7, 247.1, 24.9, 17.4, 17.3
50, 125.0, 271.7, 26.5, 18.8, 28.0
55, 134.5, 295.2, 28.2, 20.5, 20.1
60, 115.9, 317.3, 28.2, 18.8, 28.1
65, 145.3, 335.8, 29.6, 26.5, 23.4
70, 101.7, 360.8, 29.7, 26.7, 27.0
75, 131.3, 373.6, 28.1, 26.5, 25.1
80, 147.0, 380.1, 26.4, 26.8, 20.5
85, 393.5, 403.2, 42.3, 37.5, 34.3
90, 409.5, 410.3, 29.6, 23.4, 20.4
95, 412.6, 429.8, 25.0, 18.8, 18.8
100, 103.0, 459.9, 26.6, 18.5, 23.5
