Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 97.2, 126.6, 25.1, 14.0, 15.7
10, 76.6, 136.1, 26.7, 15.4, 15.7
15, 70.1, 126.6, 23.2, 15.6, 17.1
20, 79.7, 150.0, 20.7, 9.5, 15.8
25, 87.5, 162.4, 28.0, 17.0, 17.2
30, 95.3, 171.9, 18.8, 18.9, 15.7
35, 82.9, 193.9, 23.4, 15.7, 18.8
40, 103.1, 210.9, 21.8, 17.3, 22.1
45, 106.3, 251.7, 31.2, 20.3, 17.4
50, 123.4, 268.4, 29.7, 17.1, 20.3
55, 128.0, 290.6, 25.1, 23.4, 20.3
60, 121.8, 311.0, 26.7, 23.4, 23.3
65, 138.9, 348.3, 26.4, 18.9, 16.9
70, 103.1, 351.5, 26.5, 20.3, 18.9
75, 139.1, 376.6, 34.4, 17.2, 23.4
80, 145.3, 384.4, 29.6, 24.8, 26.6
85, 399.9, 407.7, 37.5, 37.5, 36.1
90, 414.1, 409.4, 23.6, 22.0, 20.3
95, 423.4, 429.8, 25.1, 22.0, 18.8
100, 118.9, 473.4, 29.8, 20.4, 28.1
