Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 92.2, 120.4, 20.3, 15.9, 14.2
10, 78.2, 131.2, 23.5, 14.3, 15.4
15, 72.0, 132.8, 18.8, 17.0, 15.7
20, 75.1, 139.2, 21.8, 14.0, 14.1
25, 92.3, 162.5, 25.0, 14.2, 17.4
30, 89.0, 173.5, 15.7, 15.7, 20.2
35, 73.5, 193.9, 21.9, 15.6, 17.2
40, 101.5, 214.0, 26.7, 17.2, 17.2
45, 98.3, 247.2, 29.8, 21.5, 20.6
50, 142.3, 270.1, 26.6, 19.1, 17.2
55, 134.4, 303.4, 31.3, 17.0, 20.4
60, 123.5, 315.5, 29.6, 23.5, 23.5
65, 128.2, 345.4, 29.6, 26.8, 25.0
70, 106.1, 361.0, 31.2, 17.5, 23.3
75, 121.8, 376.9, 28.1, 21.9, 25.0
80, 140.4, 389.5, 34.3, 24.9, 28.3
85, 386.0, 382.8, 35.7, 32.7, 39.0
90, 423.8, 393.9, 28.1, 21.6, 17.2
95, 432.7, 442.1, 24.9, 26.6, 23.6
100, 120.2, 467.3, 29.6, 20.3, 20.2
