Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 95.0, 123.4, 22.0, 13.7, 15.7
10, 73.4, 132.7, 26.8, 14.0, 15.7
15, 79.6, 126.5, 20.2, 15.3, 15.7
20, 78.4, 140.7, 15.2, 12.6, 14.0
25, 85.8, 168.9, 26.5, 17.5, 17.2
30, 93.8, 179.6, 18.6, 18.9, 17.2
35, 76.7, 200.1, 23.5, 17.1, 18.7
40, 104.7, 215.6, 23.5, 20.3, 20.1
45, 122.0, 250.0, 31.2, 21.8, 18.9
50, 139.1, 268.6, 28.3, 22.1, 17.4
55, 129.6, 296.8, 27.9, 25.1, 21.9
60, 117.2, 314.1, 29.6, 18.9, 23.6
65, 134.3, 340.5, 28.2, 20.3, 24.9
70, 101.7, 356.2, 31.4, 21.9, 20.3
75, 122.0, 371.9, 26.7, 25.1, 23.4
80, 146.9, 370.4, 29.8, 24.8, 28.1
85, 407.9, 389.2, 37.5, 37.6, 35.9
90, 396.9, 404.8, 25.0, 22.1, 20.5
95, 425.0, 443.6, 23.5, 20.2, 18.8
100, 132.9, 453.4, 26.8, 21.9, 20.3
