Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 95.5, 137.5, 25.0, 15.7, 15.6
10, 79.7, 139.0, 23.7, 14.2, 17.2
15, 78.6, 139.3, 20.5, 15.8, 15.6
20, 78.2, 139.2, 19.0, 14.3, 15.6
25, 90.7, 162.6, 31.3, 19.0, 18.9
30, 94.0, 174.9, 15.7, 15.7, 15.6
35, 82.7, 196.8, 25.1, 20.3, 18.9
40, 103.2, 207.7, 23.0, 18.6, 18.6
45, 126.5, 249.9, 27.9, 18.9, 20.3
50, 137.4, 264.2, 28.3, 21.7, 22.1
55, 121.9, 297.2, 29.7, 23.4, 23.4
60, 121.9, 314.0, 31.2, 21.8, 26.6
65, 136.0, 343.7, 28.1, 20.5, 26.7
70, 101.5, 348.7, 26.6, 21.9, 21.9
75, 121.8, 367.5, 32.7, 26.6, 26.4
80, 140.9, 379.5, 29.5, 24.8, 29.6
85, 395.1, 367.1, 33.0, 42.0, 35.9
90, 420.3, 417.5, 26.5, 18.7, 23.5
95, 409.4, 421.6, 31.3, 18.9, 24.8
100, 126.9, 465.8, 26.5, 22.0, 17.2
