Instances, FordFulkerson, EdmondsKarp, PushRelabel, FIFOPushRelabel, HighestLabelPushRelabel
5, 103.3, 123.5, 21.8, 15.5, 15.6
10, 85.9, 129.7, 25.1, 12.3, 15.9
15, 76.5, 131.4, 17.2, 15.6, 18.8
20, 73.4, 148.5, 21.9, 9.2, 13.9
25, 89.2, 159.1, 26.6, 15.8, 17.4
30, 95.2, 173.3, 20.1, 15.7, 17.3
35, 81.4, 193.6, 25.0, 17.3, 22.0
40, 101.6, 212.6, 25.2, 18.7, 17.0
45, 126.5, 245.1, 31.4, 20.0, 15.6
50, 126.5, 265.5, 32.7, 20.2, 23.5
55, 143.6, 294.0, 29.6, 17.3, 20.2
60, 117.2, 311.0, 29.9, 18.9, 23.5
65, 132.8, 350.1, 32.8, 22.0, 21.8
70, 103.0, 356.6, 28.1, 24.8, 18.8
75, 131.2, 369.1, 31.4, 25.0, 25.0
80, 136.1, 379.9, 29.4, 26.5, 24.9
85, 404.7, 387.7, 37.5, 42.3, 37.5
90, 404.7, 418.7, 23.4, 18.5, 20.3
95, 420.2, 458.5, 25.1, 17.3, 23.5
100, 120.4, 467.4, 29.7, 18.6, 23.6
